type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-10-01 14:00:00,4323.95,2.310387492917356,10000.0,10.0,70,"['处于上升趋势', 'MACD多头排列', 'RSI健康(69.1)', '成交量确认(OBV上升)', '注意：微弱背离(OBV差距0.0%)', '趋势明确(ADX:29.5)']",,,
SELL,2025-10-09 17:00:00,4334.4,0.0,,10.014143549300988,0,['止损'],10004.129405751686,14.129405751686136,0.2416771701800395
BUY,2025-10-14 16:00:00,4096.23,2.439834988842408,10004.129405751686,10.004129405751687,65,"['MACD金叉', 'RSI健康(53.2)', '趋势明确(ADX:34.6)']",,,
SELL,2025-10-15 22:00:00,3961.65,0.0,,9.665772283547525,0,['止损'],9656.106511263977,-338.0187650819571,-3.2854600449681657
BUY,2025-10-16 02:00:00,4031.33,2.3928704434399353,9656.106511263977,9.656106511263978,65,"['MACD金叉', 'RSI健康(49.7)', '趋势明确(ADX:28.4)']",,,
SELL,2025-10-16 18:00:00,3904.89,0.0,,9.34389586588417,0,['止损'],9334.551970018285,-311.8984347344285,-3.1364338816221955
BUY,2025-10-17 02:00:00,3922.3,2.3774870402692976,9334.551970018285,9.334551970018286,65,"['MACD金叉', 'RSI健康(45.1)', '趋势明确(ADX:36.6)']",,,
SELL,2025-10-17 06:00:00,3819.71,0.0,,9.08131102258704,0,['止损'],9072.229711564452,-252.9877064838147,-2.615557198582468
BUY,2025-10-17 15:00:00,3797.75,2.3864544748477092,9072.229711564452,9.072229711564452,70,"['MACD金叉', 'RSI健康(42.9)', '趋势明确(ADX:42.3)', '极强趋势(ADX:42.3)']",,,
SELL,2025-10-20 00:00:00,3941.76,0.0,,9.406830790775706,0,['止损'],9397.42395998493,334.2664781320418,3.7919820946613183
BUY,2025-10-20 04:00:00,4054.4,2.315515621553114,9397.42395998493,9.39742395998493,60,"['MACD金叉', 'RSI健康(67.0)', '注意：微弱背离(OBV差距0.8%)', '趋势明确(ADX:29.9)']",,,
SELL,2025-10-21 08:00:00,3867.99,0.0,,8.95639126901123,0,['止损'],8947.434877742216,-440.59165828272853,-4.597720994475146
BUY,2025-10-26 13:00:00,4083.52,2.1889172681570006,8947.434877742216,8.947434877742216,65,"['处于上升趋势', 'MACD多头排列', 'RSI强劲(82.3，强势上涨)', '成交量确认(OBV上升)', '注意：微弱背离(OBV差距0.0%)', '趋势明确(ADX:28.6)']",,,
SELL,2025-10-28 08:00:00,4126.96,0.0,,9.033574008993215,0,['回测结束，强制平仓'],9024.540434984221,86.0529921197467,1.0637881043805357
