type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-09-30 01:00:00,114500.31,0.08724867207783106,10000.0,10.0,80,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(79.7)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:57.3)', '极强趋势(ADX:57.3)']",,,
SELL,2025-10-08 03:00:00,121374.75,0.0,,10.589785761278725,0,['止损'],10579.195975517447,589.1959755174466,6.003861474261512
BUY,2025-10-08 04:00:00,121900.0,0.08669907120214873,10579.195975517447,10.579195975517447,85,"['处于上升趋势', 'MACD金叉', 'RSI健康(43.0)', '趋势明确(ADX:31.2)']",,,
SELL,2025-10-10 20:00:00,114266.82,0.0,,9.906827163223113,0,['止损'],9896.920336059891,-671.6964434820384,-6.261837571780142
BUY,2025-10-14 16:00:00,112328.83,0.08801857382226658,9896.920336059891,9.89692033605989,65,"['MACD金叉', 'RSI健康(46.2)', '趋势明确(ADX:36.4)']",,,
SELL,2025-10-16 15:00:00,108549.21,0.0,,9.554346653733717,0,['止损'],9544.792307079984,-342.2311086438476,-3.3647817750794657
BUY,2025-10-17 02:00:00,108972.97,0.08750103364873787,9544.792307079984,9.544792307079984,70,"['MACD金叉', 'RSI健康(44.2)', '趋势明确(ADX:44.5)', '极强趋势(ADX:44.5)']",,,
SELL,2025-10-17 06:00:00,106741.28,0.0,,9.339972332989351,0,['止损'],9330.632360656362,-204.61515411654182,-2.0479298673790414
BUY,2025-10-17 15:00:00,106803.53,0.08727522141164909,9330.632360656362,9.330632360656361,70,"['MACD金叉', 'RSI健康(46.2)', '趋势明确(ADX:47.9)', '极强趋势(ADX:47.9)']",,,
SELL,2025-10-20 16:00:00,110683.19,0.0,,9.659899913797625,0,['止损'],9650.240013883827,328.9382855881213,3.6325203857962403
