type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-10-19 13:30:00,3946.5,2.5313568985176738,10000.0,10.0,100,"['处于上升趋势', 'MACD金叉', 'RSI健康(65.2)', '成交量确认(OBV上升)', '趋势明确(ADX:48.2)', '极强趋势(ADX:48.2)']",,,
SELL,2025-10-19 16:15:00,3968.73,0.0,,10.046272063854047,0,['止损'],10036.225791790193,46.2257917901934,0.5632839224629423
BUY,2025-10-19 17:00:00,4011.64,2.4992745026967533,10036.225791790193,10.036225791790194,100,"['处于上升趋势', 'MACD金叉', 'RSI健康(70.7)', '成交量确认(OBV上升)', '趋势明确(ADX:57.9)', '极强趋势(ADX:57.9)']",,,
SELL,2025-10-19 23:15:00,3994.28,0.0,,9.98280216063159,0,['止损'],9972.819358470957,-53.37020752744684,-0.4327407244917209
BUY,2025-10-20 03:00:00,3956.82,2.5178922819619003,9972.819358470957,9.972819358470957,100,"['处于上升趋势', 'MACD金叉', 'RSI健康(47.2)', '成交量确认(OBV上升)', '趋势明确(ADX:32.0)']",,,
SELL,2025-10-21 04:30:00,3857.97,0.0,,9.713952887040552,0,['止损'],9704.23893415351,-258.60760495897557,-2.4982182661834593
BUY,2025-10-21 16:30:00,4089.77,2.3704351822276943,9704.23893415351,9.70423893415351,80,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(78.6)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:42.4)', '极强趋势(ADX:42.4)']",,,
SELL,2025-10-21 23:45:00,3873.05,0.0,,9.180813982526972,0,['止损'],9171.633168544446,-522.901526674912,-5.299075498133142
BUY,2025-10-22 12:15:00,3845.12,2.3828805174808334,9171.633168544446,9.171633168544446,65,"['MACD金叉', 'RSI健康(50.0)', '趋势明确(ADX:32.9)']",,,
SELL,2025-10-23 09:00:00,3875.61,0.0,,9.235115562353892,0,['止损'],9225.880446791538,63.4189114156361,0.7929531458055987
BUY,2025-10-23 18:00:00,3894.47,2.366600478715909,9225.880446791538,9.225880446791539,75,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(55.3)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:34.4)']",,,
SELL,2025-10-24 07:30:00,3948.92,0.0,,9.345515962410827,0,['止损'],9336.170446448417,119.5158801036705,1.3981363317730084
BUY,2025-10-25 09:00:00,3954.31,2.358650251498231,9336.170446448417,9.336170446448417,75,"['处于上升趋势', 'MACD多头排列', 'RSI健康(66.0)', '成交量确认(OBV上升)', '趋势明确(ADX:34.3)']",,,
SELL,2025-10-25 10:15:00,3937.82,0.0,,9.287940133354764,0,['止损'],9278.652193221411,-48.18208278055863,-0.41701333481694103
BUY,2025-10-25 12:15:00,3953.3,2.344717967527936,9278.652193221411,9.278652193221411,70,"['处于上升趋势', 'MACD金叉', 'RSI健康(60.8)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:37.2)']",,,
SELL,2025-10-27 18:30:00,4213.58,0.0,,9.879656733616361,0,['回测结束，强制平仓'],9869.777076882745,600.4035358545552,6.583866643057693
