type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-09-26 03:00:00,109580.01,0.09116626289776758,10000.0,10.0,55,"['MACD金叉', '趋势明确(ADX:52.9)', '极强趋势(ADX:52.9)']",,,
SELL,2025-09-30 02:00:00,114455.96,0.0,,10.434522139576371,0,['止损'],10424.087617436795,434.087617436795,4.449671066830539
BUY,2025-10-03 16:00:00,122553.3,0.08497252648292096,10424.087617436795,10.424087617436795,95,"['处于上升趋势', '强劲上涨(价格高于EMA200 6.1%)', 'EMA向上发散(趋势加速)', 'MACD多头排列', 'RSI健康(78.0)', '成交量确认(OBV上升)', '趋势明确(ADX:31.2)']",,,
SELL,2025-10-08 03:00:00,121374.75,0.0,,10.31351915873291,0,['止损'],10303.205639574177,-110.45789024518126,-0.9616632110273675
BUY,2025-10-08 04:00:00,121900.0,0.0844372636089795,10303.205639574177,10.303205639574177,85,"['处于上升趋势', 'MACD金叉', 'RSI健康(43.0)', '趋势明确(ADX:31.2)']",,,
SELL,2025-10-10 20:00:00,114266.82,0.0,,9.648377602099812,0,['止损'],9638.729224497712,-654.173209436889,-6.261837571780142
BUY,2025-10-14 16:00:00,112328.83,0.08572234301090124,9638.729224497712,9.638729224497713,65,"['MACD金叉', 'RSI健康(46.2)', '趋势明确(ADX:36.4)']",,,
SELL,2025-10-16 00:00:00,110431.27,0.0,,9.466427206069449,0,['止损'],9456.96077886338,-172.12971640983415,-1.6892902739216615
BUY,2025-10-17 02:00:00,108972.97,0.08669584593394597,9456.96077886338,9.45696077886338,70,"['MACD金叉', 'RSI健康(44.2)', '趋势明确(ADX:44.5)', '极强趋势(ADX:44.5)']",,,
SELL,2025-10-17 06:00:00,106741.28,0.0,,9.254025565672187,0,['止损'],9244.771540106516,-202.73227797800064,-2.0479298673790414
BUY,2025-10-17 15:00:00,106803.53,0.08647211162932919,9244.771540106516,9.244771540106516,70,"['MACD金叉', 'RSI健康(46.2)', '趋势明确(ADX:47.9)', '极强趋势(ADX:47.9)']",,,
SELL,2025-10-20 16:00:00,110683.19,0.0,,9.571009161170252,0,['止损'],9561.438152009081,325.91138344267165,3.6325203857962403
