type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-10-07 01:00:00,4675.25,2.136784129190952,10000.0,10.0,85,"['处于上升趋势', '强劲上涨(价格高于EMA200 5.6%)', 'EMA向上发散(趋势加速)', 'RSI健康(62.9)', '成交量确认(OBV上升)', '趋势明确(ADX:44.4)', '极强趋势(ADX:44.4)']",,,
SELL,2025-10-09 17:00:00,4334.4,0.0,,9.261677129565262,0,['止损'],9252.415452435696,-737.5845475643036,-7.29051922357094
BUY,2025-10-14 16:00:00,4096.23,2.256504892787578,9252.415452435696,9.252415452435697,65,"['MACD金叉', 'RSI健康(53.2)', '趋势明确(ADX:34.6)']",,,
SELL,2025-10-15 22:00:00,3961.65,0.0,,8.93948260851191,0,['止损'],8930.543125903398,-312.6199110798625,-3.2854600449681657
BUY,2025-10-16 02:00:00,4031.33,2.2130692805544308,8930.543125903398,8.930543125903398,65,"['MACD金叉', 'RSI健康(49.7)', '趋势明确(ADX:28.4)']",,,
SELL,2025-10-16 18:00:00,3904.89,0.0,,8.641792102944192,0,['止损'],8633.150310841247,-288.4622719362469,-3.1364338816221955
BUY,2025-10-17 02:00:00,3922.3,2.1988417919410566,8633.150310841247,8.633150310841247,65,"['MACD金叉', 'RSI健康(45.1)', '趋势明确(ADX:36.6)']",,,
SELL,2025-10-17 06:00:00,3819.71,0.0,,8.398937981095175,0,['止损'],8390.539043114079,-233.97811741632722,-2.615557198582468
BUY,2025-10-17 15:00:00,3797.75,2.2071354101957645,8390.539043114079,8.390539043114078,70,"['MACD金叉', 'RSI健康(42.9)', '趋势明确(ADX:42.3)', '极强趋势(ADX:42.3)']",,,
SELL,2025-10-20 00:00:00,3941.76,0.0,,8.699998074493259,0,['止损'],8691.298076418765,309.14957234780013,3.7919820946613183
BUY,2025-10-27 08:00:00,4166.83,2.083743944039557,8691.298076418765,8.691298076418764,80,"['处于上升趋势', 'MACD多头排列', 'RSI健康(61.6)', '成交量确认(OBV上升)', '趋势明确(ADX:55.3)', '极强趋势(ADX:55.3)']",,,
SELL,2025-10-28 07:00:00,4116.73,0.0,,8.578211206745964,0,['回测结束，强制平仓'],8569.632995539218,-112.97378280312842,-1.2023528677675923
