type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-10-13 19:00:00,4248.51,2.3514126128925197,10000.0,10.0,75,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(66.2)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:31.5)']",,,
SELL,2025-10-14 00:00:00,4250.87,0.0,,9.995549333766425,0,['止损'],9985.553784432659,-4.446215567340914,0.05554888655080657
BUY,2025-10-16 23:00:00,3893.01,2.5624306720630634,9985.553784432659,9.985553784432659,65,"['MACD金叉', 'RSI健康(43.7)', '趋势明确(ADX:29.3)']",,,
SELL,2025-10-17 08:30:00,3708.8,0.0,,9.50354287654749,0,['止损'],9494.039333670942,-481.5288969772846,-4.731814200323144
BUY,2025-10-17 12:00:00,3787.47,2.5041902099124935,9494.039333670942,9.494039333670942,65,"['MACD金叉', 'RSI健康(45.0)', '趋势明确(ADX:33.4)']",,,
SELL,2025-10-20 09:30:00,4044.89,0.0,,10.129173938172945,0,['止损'],10119.044764234774,634.4994698975024,6.796621491391354
BUY,2025-10-21 17:30:00,4014.63,2.518021765261192,10119.044764234774,10.119044764234774,100,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(59.3)', '成交量确认(OBV上升)', '趋势明确(ADX:33.3)']",,,
SELL,2025-10-22 18:00:00,3809.4,0.0,,9.592152112585984,0,['止损'],9582.559960473398,-526.3657589971408,-5.112052667369098
BUY,2025-10-22 23:30:00,3805.53,2.515543800866876,9582.559960473398,9.582559960473398,70,"['MACD金叉', 'RSI健康(50.0)', '趋势明确(ADX:41.6)', '极强趋势(ADX:41.6)']",,,
SELL,2025-10-24 10:00:00,3948.83,0.0,,9.933454827177146,0,['止损'],9923.52137234997,350.5439718370453,3.765572732313231
