type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-09-26 03:00:00,109580.01,0.09116626289776758,10000.0,10.0,55,"['MACD金叉', '趋势明确(ADX:52.9)', '极强趋势(ADX:52.9)']",,,
SELL,2025-09-26 04:00:00,109338.01,0.0,,9.967937764378739,0,['止损'],9957.96982661436,-32.0301733856395,-0.22084319941200956
BUY,2025-09-30 01:00:00,114500.31,0.08688196439632125,9957.96982661436,9.957969826614361,80,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(79.7)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:57.3)', '极强趋势(ADX:57.3)']",,,
SELL,2025-09-30 02:00:00,114455.96,0.0,,9.94415864166677,0,['止损'],9934.214483025102,-13.797373762643474,-0.038733519586096554
BUY,2025-10-01 01:00:00,114549.99,0.08663711160989257,9934.214483025102,9.934214483025102,45,"['处于上升趋势', 'MACD多头排列', 'RSI健康(62.0)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:31.5)']",,,
SELL,2025-10-03 01:00:00,119875.72,0.0,,10.38568613295623,0,['止损'],10375.300446823274,451.0201782811964,4.649262736731793
BUY,2025-10-03 16:00:00,122553.3,0.0845748351645892,10375.300446823274,10.375300446823275,95,"['处于上升趋势', '强劲上涨(价格高于EMA200 6.1%)', 'EMA向上发散(趋势加速)', 'MACD多头排列', 'RSI健康(78.0)', '成交量确认(OBV上升)', '趋势明确(ADX:31.2)']",,,
SELL,2025-10-07 00:00:00,124900.93,0.0,,10.563475566653896,0,['止损'],10552.91209108724,187.98694471079034,1.9155991719521137
BUY,2025-10-07 01:00:00,124699.99,0.08454178046843591,10552.91209108724,10.55291209108724,55,"['处于上升趋势', 'EMA向上发散(趋势加速)', 'RSI健康(52.4)', '趋势明确(ADX:28.5)']",,,
SELL,2025-10-07 19:00:00,121637.17,0.0,,10.283422922941819,0,['止损'],10273.139500018877,-269.219678977277,-2.456150958793186
BUY,2025-10-08 00:00:00,121914.09,0.08418113411270886,10273.139500018877,10.273139500018877,45,"['处于上升趋势', 'RSI健康(40.7)', '趋势明确(ADX:29.5)']",,,
SELL,2025-10-08 03:00:00,121374.75,0.0,,10.21746410764651,0,['止损'],10207.246643538863,-55.61971697999434,-0.44239349200736067
BUY,2025-10-08 04:00:00,121900.0,0.08365085641423564,10207.246643538863,10.207246643538863,85,"['处于上升趋势', 'MACD金叉', 'RSI健康(43.0)', '趋势明确(ADX:31.2)']",,,
SELL,2025-10-10 20:00:00,114266.82,0.0,,9.558517352731311,0,['止损'],9548.95883537858,-648.0805615167446,-6.261837571780142
BUY,2025-10-14 16:00:00,112328.83,0.08492396721788344,9548.95883537858,9.548958835378581,65,"['MACD金叉', 'RSI健康(46.2)', '趋势明确(ADX:36.4)']",,,
SELL,2025-10-16 00:00:00,110431.27,0.0,,9.378261553309237,0,['止损'],9368.883291755927,-170.52658478727426,-1.6892902739216615
BUY,2025-10-17 02:00:00,108972.97,0.0858884034129213,9368.883291755927,9.368883291755926,70,"['MACD金叉', 'RSI健康(44.2)', '趋势明确(ADX:44.5)', '极强趋势(ADX:44.5)']",,,
SELL,2025-10-17 06:00:00,106741.28,0.0,,9.167838117451588,0,['止损'],9158.670279334136,-200.84412913003507,-2.0479298673790414
BUY,2025-10-17 15:00:00,106803.53,0.08566675285971168,9158.670279334136,9.158670279334135,70,"['MACD金叉', 'RSI健康(46.2)', '趋势明确(ADX:47.9)', '极强趋势(ADX:47.9)']",,,
SELL,2025-10-20 16:00:00,110683.19,0.0,,9.481869483454512,0,['止损'],9472.387613971057,322.8760049162556,3.6325203857962403
BUY,2025-10-21 17:00:00,111973.42,0.0845103706429355,9472.387613971057,9.472387613971058,40,"['MACD多头排列', 'RSI健康(61.8)', '趋势明确(ADX:30.5)']",,,
SELL,2025-10-27 18:00:00,115584.0,0.0,,9.768046680393056,0,['回测结束，强制平仓'],9758.278633712664,295.3634073555768,3.2244973851830205
