type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-09-24 11:00:00,212.35,47.044972922062634,10000.0,10.0,40,"['MACD多头排列', 'RSI健康(44.4)', '趋势明确(ADX:37.8)']",,,
SELL,2025-09-25 05:00:00,205.45,0.0,,9.665389686837766,0,['止损'],9655.72429715093,-334.2757028490705,-3.249352484106431
BUY,2025-09-29 06:00:00,208.14,46.344136508377915,9655.72429715093,9.655724297150929,40,"['MACD多头排列', 'RSI健康(58.7)', '趋势明确(ADX:31.1)']",,,
SELL,2025-09-29 07:00:00,208.95,0.0,,9.683607323425566,0,['止损'],9673.92371610214,27.855143248360037,0.3891611415393496
BUY,2025-09-30 08:00:00,207.77,46.514173328132244,9673.92371610214,9.67392371610214,30,"['价格接近布林下轨', 'KDJ超卖区(K:8.0, D:13.4)']",,,
SELL,2025-10-07 16:00:00,224.4,0.0,,10.437780494832875,0,['止损'],10427.342714338043,763.0929219520058,8.004042932088366
BUY,2025-10-08 19:00:00,229.34,45.421275711274546,10427.342714338043,10.427342714338044,45,"['处于上升趋势', 'MACD多头排列', 'RSI健康(65.6)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:38.0)']",,,
SELL,2025-10-10 20:00:00,196.84,0.0,,8.940723911007282,0,['止损'],8931.783187096275,-1485.1321845274306,-14.171099677334961
BUY,2025-10-11 10:00:00,183.97,48.501665510187415,8931.783187096275,8.931783187096276,55,"['MACD金叉', '趋势明确(ADX:51.8)', '极强趋势(ADX:51.8)']",,,
SELL,2025-10-12 09:00:00,182.04,0.0,,8.829243189474518,0,['止损'],8820.413946285042,-102.4374576241371,-1.0490840897972533
BUY,2025-10-12 10:00:00,180.75,48.750171686521476,8820.413946285042,8.820413946285042,45,"['MACD多头排列', 'RSI健康(45.0)', '趋势明确(ADX:40.6)', '极强趋势(ADX:40.6)']",,,
SELL,2025-10-12 15:00:00,191.23,0.0,,9.322495331613501,0,['止损'],9313.172836281889,501.5793039431319,5.798063623789759
BUY,2025-10-13 02:00:00,196.46,47.35752653693172,9313.172836281889,9.313172836281888,40,"['MACD多头排列', 'RSI健康(63.1)', '趋势明确(ADX:30.1)']",,,
SELL,2025-10-13 22:00:00,208.4,0.0,,9.869308530296571,0,['止损'],9859.439221766275,555.5795583206691,6.077573042858596
BUY,2025-10-14 02:00:00,206.3,47.74396404529573,9859.439221766275,9.859439221766275,40,"['MACD多头排列', 'RSI健康(61.9)', '趋势明确(ADX:32.5)']",,,
SELL,2025-10-14 03:00:00,205.71,0.0,,9.821410843757786,0,['止损'],9811.589432914028,-37.99034963048143,-0.2859912748424641
BUY,2025-10-15 15:00:00,197.13,49.72240573977129,9811.589432914028,9.811589432914028,32,['价格接近布林下轨'],,,
SELL,2025-10-16 19:00:00,185.04,0.0,,9.200633958087279,0,['止损'],9191.433324129192,-610.3445193519219,-6.133008674478773
BUY,2025-10-17 03:00:00,187.09,49.079276769496296,9191.433324129192,9.191433324129191,70,"['MACD金叉', 'RSI健康(43.4)', '趋势明确(ADX:46.9)', '极强趋势(ADX:46.9)']",,,
SELL,2025-10-17 06:00:00,180.38,0.0,,8.852919943681743,0,['止损'],8844.06702373806,-338.1748670670022,-3.5865091667112123
BUY,2025-10-21 19:00:00,193.96,45.55177849409323,8844.06702373806,8.84406702373806,40,"['MACD多头排列', 'RSI健康(61.0)', '趋势明确(ADX:28.6)']",,,
SELL,2025-10-27 18:00:00,202.26,0.0,,9.213302718215296,0,['回测结束，强制平仓'],9204.089415497081,368.86645878275885,4.279232831511643
