type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-10-06 15:00:00,4673.39,2.137634565058769,10000.0,10.0,65,"['处于上升趋势', '强劲上涨(价格高于EMA200 6.2%)', 'EMA向上发散(趋势加速)', 'MACD多头排列', 'RSI健康(76.0)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:29.4)']",,,
SELL,2025-10-09 17:00:00,4334.4,0.0,,9.265363258790726,0,['止损'],9256.097895531937,-733.902104468063,-7.253621033125861
BUY,2025-10-14 16:00:00,4096.23,2.257402977283113,9256.097895531937,9.256097895531937,65,"['MACD金叉', 'RSI健康(53.2)', '趋势明确(ADX:34.6)']",,,
SELL,2025-10-16 18:00:00,3904.89,0.0,,8.814910311963054,0,['止损'],8806.095401651091,-440.74639598531394,-4.671124424165629
BUY,2025-10-17 02:00:00,3922.3,2.2428904740202023,8806.095401651091,8.806095401651092,65,"['MACD金叉', 'RSI健康(45.1)', '趋势明确(ADX:36.6)']",,,
SELL,2025-10-17 06:00:00,3819.71,0.0,,8.567191172519706,0,['止损'],8558.623981347186,-238.66532490225472,-2.615557198582468
BUY,2025-10-17 15:00:00,3797.75,2.251350235630528,8558.623981347186,8.558623981347186,70,"['MACD金叉', 'RSI健康(42.9)', '趋势明确(ADX:42.3)', '极强趋势(ADX:42.3)']",,,
SELL,2025-10-20 00:00:00,3941.76,0.0,,8.87428230479899,0,['止损'],8865.40802249419,315.34266512835165,3.7919820946613183
BUY,2025-10-27 08:00:00,4166.83,2.1254869083863985,8865.40802249419,8.86540802249419,80,"['处于上升趋势', 'MACD多头排列', 'RSI健康(61.6)', '成交量确认(OBV上升)', '趋势明确(ADX:55.3)', '极强趋势(ADX:55.3)']",,,
SELL,2025-10-27 18:00:00,4229.12,0.0,,8.988939193995085,0,['回测结束，强制平仓'],8979.95025480109,123.40764032939296,1.4949013998651244
