type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-09-26 03:00:00,109580.01,0.09116626289776758,10000.0,10.0,55,"['MACD金叉', '趋势明确(ADX:52.9)', '极强趋势(ADX:52.9)']",,,
SELL,2025-09-26 04:00:00,109338.01,0.0,,9.967937764378739,0,['止损'],9957.96982661436,-32.0301733856395,-0.22084319941200956
BUY,2025-09-30 01:00:00,114500.31,0.08688196439632125,9957.96982661436,9.957969826614361,80,"['EMA金叉(50上穿200)', 'MACD多头排列', 'RSI健康(79.7)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:57.3)', '极强趋势(ADX:57.3)']",,,
SELL,2025-09-30 02:00:00,114455.96,0.0,,9.94415864166677,0,['止损'],9934.214483025102,-13.797373762643474,-0.038733519586096554
BUY,2025-10-01 01:00:00,114549.99,0.08663711160989257,9934.214483025102,9.934214483025102,45,"['处于上升趋势', 'MACD多头排列', 'RSI健康(62.0)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:31.5)']",,,
SELL,2025-10-03 01:00:00,119875.72,0.0,,10.38568613295623,0,['止损'],10375.300446823274,451.0201782811964,4.649262736731793
BUY,2025-10-03 16:00:00,122553.3,0.0845748351645892,10375.300446823274,10.375300446823275,95,"['处于上升趋势', '强劲上涨(价格高于EMA200 6.1%)', 'EMA向上发散(趋势加速)', 'MACD多头排列', 'RSI健康(78.0)', '成交量确认(OBV上升)', '趋势明确(ADX:31.2)']",,,
SELL,2025-10-07 00:00:00,124900.93,0.0,,10.563475566653896,0,['止损'],10552.91209108724,187.98694471079034,1.9155991719521137
BUY,2025-10-07 01:00:00,124699.99,0.08454178046843591,10552.91209108724,10.55291209108724,55,"['处于上升趋势', 'EMA向上发散(趋势加速)', 'RSI健康(52.4)', '趋势明确(ADX:28.5)']",,,
SELL,2025-10-07 17:00:00,121130.02,0.0,,10.240547558977253,0,['止损'],10230.307011418276,-312.0521675778782,-2.862847061976509
BUY,2025-10-08 00:00:00,121914.09,0.08383015207189635,10230.307011418276,10.230307011418276,45,"['处于上升趋势', 'RSI健康(40.7)', '趋势明确(ADX:29.5)']",,,
SELL,2025-10-08 03:00:00,121374.75,0.0,,10.174863750188402,0,['止损'],10164.688886438214,-55.3878179686435,-0.44239349200736067
BUY,2025-10-08 04:00:00,121900.0,0.08330208529574878,10164.688886438214,10.164688886438215,85,"['处于上升趋势', 'MACD金叉', 'RSI健康(43.0)', '趋势明确(ADX:31.2)']",,,
SELL,2025-10-10 19:00:00,116661.5,0.0,,9.718146223729997,0,['止损'],9708.428077506267,-446.09612004550945,-4.297374897456932
BUY,2025-10-14 16:00:00,112328.83,0.08634221196311544,9708.428077506267,9.708428077506268,65,"['MACD金叉', 'RSI健康(46.2)', '趋势明确(ADX:36.4)']",,,
SELL,2025-10-15 20:00:00,111109.76,0.0,,9.593462449090884,0,['止损'],9583.868986641794,-114.8506627869665,-1.0852690266603924
BUY,2025-10-16 02:00:00,111510.43,0.0858599963936571,9583.868986641794,9.583868986641793,65,"['MACD金叉', 'RSI健康(49.1)', '趋势明确(ADX:27.5)']",,,
SELL,2025-10-16 15:00:00,108549.21,0.0,,9.320034779134328,0,['止损'],9310.714744355195,-263.5703732999573,-2.6555542831284815
BUY,2025-10-17 02:00:00,108972.97,0.08535514843369726,9310.714744355195,9.310714744355195,70,"['MACD金叉', 'RSI健康(44.2)', '趋势明确(ADX:44.5)', '极强趋势(ADX:44.5)']",,,
SELL,2025-10-17 06:00:00,106741.28,0.0,,9.110917798402841,0,['止损'],9101.806880604438,-199.5971490064021,-2.0479298673790414
BUY,2025-10-17 15:00:00,106803.53,0.08513487404137142,9101.806880604438,9.101806880604437,70,"['MACD金叉', 'RSI健康(46.2)', '趋势明确(ADX:47.9)', '极强趋势(ADX:47.9)']",,,
SELL,2025-10-19 23:00:00,108642.78,0.0,,9.249289390804426,0,['止损'],9240.040101413622,147.33502768978906,1.7220872755797492
BUY,2025-10-21 17:00:00,111973.42,0.08243742185701043,9240.040101413622,9.240040101413623,40,"['MACD多头排列', 'RSI健康(61.8)', '趋势明确(ADX:30.5)']",,,
SELL,2025-10-21 22:00:00,109066.98,0.0,,8.991200640930119,0,['止损'],8982.209440289189,-248.5906210230205,-2.59565171805952
BUY,2025-10-26 10:00:00,112477.1,0.079778259137628,8982.209440289189,8.98220944028919,45,"['处于上升趋势', 'MACD多头排列', 'RSI健康(70.1)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:27.1)']",,,
SELL,2025-10-27 17:00:00,115525.92,0.0,,9.216456782872882,0,['回测结束，强制平仓'],9207.240326090008,234.0130952411091,2.7106139827573723
