type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-09-29 06:00:00,4097.53,2.438054144814071,10000.0,10.0,40,"['MACD多头排列', 'RSI健康(59.9)', '趋势明确(ADX:30.8)']",,,
SELL,2025-09-29 10:00:00,4116.34,0.0,,10.035859798463955,0,['止损'],10025.823938665491,35.82393866549137,0.45905704168121775
BUY,2025-10-01 12:00:00,4284.39,2.3377419223569342,10025.823938665491,10.025823938665491,45,"['处于上升趋势', 'MACD多头排列', 'RSI健康(64.9)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:25.5)']",,,
SELL,2025-10-06 09:00:00,4573.0,0.0,,10.69049381093826,0,['止损'],10679.803317127322,664.0052024004963,6.736314854623404
BUY,2025-10-06 14:00:00,4638.51,2.3001186833293867,10679.803317127322,10.679803317127321,65,"['处于上升趋势', '强劲上涨(价格高于EMA200 5.5%)', 'EMA向上发散(趋势加速)', 'MACD多头排列', 'RSI健康(71.7)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:26.6)']",,,
SELL,2025-10-07 21:00:00,4493.46,0.0,,10.335491298793267,0,['止损'],10325.155807494473,-343.96770631572144,-3.12708175685727
BUY,2025-10-09 12:00:00,4404.37,2.341953707723688,10325.155807494473,10.325155807494474,45,"['处于上升趋势', 'RSI健康(43.3)', '趋势明确(ADX:30.7)']",,,
SELL,2025-10-09 13:00:00,4350.81,0.0,,10.1893956111013,0,['止损'],10179.206215490198,-135.62443619678015,-1.2160649536710015
BUY,2025-10-10 14:00:00,4280.35,2.3757466116730424,10179.206215490198,10.179206215490199,39,['价格接近布林下轨'],,,
SELL,2025-10-10 18:00:00,4053.84,0.0,,9.630896644264647,0,['止损'],9621.265747620382,-547.7612616543247,-5.291856974312853
BUY,2025-10-11 08:00:00,3815.36,2.5191972662796593,9621.265747620382,9.621265747620383,55,"['MACD金叉', '趋势明确(ADX:62.7)', '极强趋势(ADX:62.7)']",,,
SELL,2025-10-12 07:00:00,3827.99,0.0,,9.643461943345873,0,['止损'],9633.818481402526,22.173999529764842,0.3310303614861941
BUY,2025-10-13 03:00:00,4139.78,2.3248058261359597,9633.818481402526,9.633818481402527,45,"['MACD多头排列', 'RSI健康(66.3)', '趋势明确(ADX:43.8)', '极强趋势(ADX:43.8)']",,,
SELL,2025-10-13 05:00:00,4131.55,0.0,,9.605051510972025,0,['止损'],9595.446459461053,-28.73820346007051,-0.1988028349332468
BUY,2025-10-13 23:00:00,4240.85,2.260360779796878,9595.446459461053,9.595446459461053,40,"['MACD多头排列', 'RSI健康(60.5)', '趋势明确(ADX:31.6)']",,,
SELL,2025-10-14 01:00:00,4211.33,0.0,,9.519125162781986,0,['止损'],9509.606037619204,-76.24497538238757,-0.6960868693776114
BUY,2025-10-14 16:00:00,4096.23,2.319229250208505,9509.606037619204,9.509606037619204,65,"['MACD金叉', 'RSI健康(53.2)', '趋势明确(ADX:34.6)']",,,
SELL,2025-10-15 20:00:00,3961.52,0.0,,9.187673059285997,0,['止损'],9178.48538622671,-321.61104535487357,-3.2886336948852875
BUY,2025-10-16 02:00:00,4031.33,2.2745116130012883,9178.48538622671,9.17848538622671,65,"['MACD金叉', 'RSI健康(49.7)', '趋势明确(ADX:28.4)']",,,
SELL,2025-10-16 18:00:00,3904.89,0.0,,8.8817176524926,0,['止损'],8872.835934840108,-296.4709660003755,-3.1364338816221955
BUY,2025-10-17 02:00:00,3922.3,2.2598891208997953,8872.835934840108,8.872835934840108,65,"['MACD金叉', 'RSI健康(45.1)', '趋势明确(ADX:36.6)']",,,
SELL,2025-10-17 06:00:00,3819.71,0.0,,8.632121073992158,0,['止损'],8623.488952918166,-240.47414598710202,-2.615557198582468
BUY,2025-10-17 15:00:00,3797.75,2.268412998213481,8623.488952918166,8.623488952918166,70,"['MACD金叉', 'RSI健康(42.9)', '趋势明确(ADX:42.3)', '极强趋势(ADX:42.3)']",,,
SELL,2025-10-19 23:00:00,3982.58,0.0,,9.034136238425045,0,['止损'],9025.10210218662,410.23663822137314,4.866829043512604
BUY,2025-10-21 16:00:00,4029.19,2.2376897093670025,9025.10210218662,9.02510210218662,40,"['MACD多头排列', 'RSI健康(60.2)', '趋势明确(ADX:29.6)']",,,
SELL,2025-10-22 09:00:00,3836.84,0.0,,8.58565738448769,0,['止损'],8577.0717271032,-439.00527298123234,-4.773912374447467
BUY,2025-10-26 12:00:00,4072.89,2.1037873979842567,8577.0717271032,8.5770717271032,40,"['处于上升趋势', 'MACD多头排列', 'RSI强劲(81.3，强势上涨)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:25.3)']",,,
SELL,2025-10-27 17:00:00,4218.59,0.0,,8.875016479262406,0,['回测结束，强制平仓'],8866.141462783144,297.64680740704534,3.5773124243473378
