type,timestamp,price,size,cost,commission,signal_strength,reasons,value,profit,profit_pct
BUY,2025-09-24 10:00:00,210.9,47.368421052631575,10000.0,10.0,50,"['MACD金叉', '趋势明确(ADX:38.8)']",,,
SELL,2025-09-25 04:00:00,204.36,0.0,,9.68021052631579,0,['止损'],9670.530315789474,-319.4696842105259,-3.100995732574676
BUY,2025-09-27 05:00:00,202.48,47.71266191956581,9670.530315789474,9.670530315789474,40,"['MACD多头排列', 'RSI健康(54.8)', '趋势明确(ADX:25.1)']",,,
SELL,2025-09-29 00:00:00,209.19,0.0,,9.981011746953973,0,['止损'],9971.03073520702,310.17094973333406,3.3139075464243426
BUY,2025-09-29 06:00:00,208.14,47.85749833992415,9971.03073520702,9.97103073520702,40,"['MACD多头排列', 'RSI健康(58.7)', '趋势明确(ADX:31.1)']",,,
SELL,2025-09-29 07:00:00,208.95,0.0,,9.999824278127152,0,['止损'],9989.824453849023,28.764749377211047,0.3891611415393496
BUY,2025-09-30 08:00:00,207.77,48.03308769021117,9989.824453849023,9.989824453849023,30,"['价格接近布林下轨', 'KDJ超卖区(K:8.0, D:13.4)']",,,
SELL,2025-10-07 15:00:00,223.79,0.0,,10.749324694192357,0,['止损'],10738.575369498165,758.7407401029905,7.7104490542426625
BUY,2025-10-08 19:00:00,229.34,46.77699831747042,10738.575369498165,10.738575369498164,45,"['处于上升趋势', 'MACD多头排列', 'RSI健康(65.6)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:38.0)']",,,
SELL,2025-10-09 19:00:00,218.29,0.0,,10.210950962720618,0,['止损'],10200.740011757898,-527.0967823707688,-4.818173890293892
BUY,2025-10-11 10:00:00,183.97,55.39239697638821,10200.740011757898,10.2007400117579,55,"['MACD金叉', '趋势明确(ADX:51.8)', '极强趋势(ADX:51.8)']",,,
SELL,2025-10-12 09:00:00,182.04,0.0,,10.083631945581711,0,['止损'],10073.548313636129,-116.99095811001098,-1.0490840897972533
BUY,2025-10-12 10:00:00,180.75,55.67620893677728,10073.548313636129,10.07354831363613,45,"['MACD多头排列', 'RSI健康(45.0)', '趋势明确(ADX:40.6)', '极强趋势(ADX:40.6)']",,,
SELL,2025-10-12 15:00:00,191.23,0.0,,10.646961434979918,0,['止损'],10636.314473544937,572.8397082224437,5.798063623789759
BUY,2025-10-13 02:00:00,196.46,54.08570782383891,10636.314473544937,10.636314473544937,40,"['MACD多头排列', 'RSI健康(63.1)', '趋势明确(ADX:30.1)']",,,
SELL,2025-10-13 05:00:00,194.06,0.0,,10.495872460294178,0,['止损'],10485.376587833884,-140.30157123750905,-1.2216227221826355
BUY,2025-10-14 02:00:00,206.3,50.77504222610785,10485.376587833884,10.485376587833883,40,"['MACD多头排列', 'RSI健康(61.9)', '趋势明确(ADX:32.5)']",,,
SELL,2025-10-14 03:00:00,205.71,0.0,,10.444933936332646,0,['止损'],10434.489002396313,-40.40220884973678,-0.2859912748424641
BUY,2025-10-15 15:00:00,197.13,52.879087472195586,10434.489002396313,10.434489002396313,32,['价格接近布林下轨'],,,
SELL,2025-10-16 00:00:00,193.92,0.0,,10.254312642608168,0,['止损'],10244.05832996556,-179.99618342835674,-1.6283670674174442
BUY,2025-10-17 03:00:00,187.09,54.69995334670797,10244.05832996556,10.24405832996556,70,"['MACD金叉', 'RSI健康(43.4)', '趋势明确(ADX:46.9)', '极强趋势(ADX:46.9)']",,,
SELL,2025-10-17 06:00:00,180.38,0.0,,9.866777584679182,0,['止损'],9856.910807094504,-376.9034645410902,-3.5865091667112123
BUY,2025-10-21 16:00:00,192.6,51.12696727044345,9856.910807094504,9.856910807094504,40,"['MACD多头排列', 'RSI健康(59.7)', '趋势明确(ADX:26.0)']",,,
SELL,2025-10-25 07:00:00,193.96,0.0,,9.916586571775213,0,['止损'],9906.669985203438,59.616088916029184,0.7061266874351058
BUY,2025-10-25 08:00:00,194.86,50.789096352346476,9906.669985203438,9.906669985203438,70,"['处于上升趋势', 'MACD金叉', 'RSI健康(62.3)', '成交量确认(OBV上升)', '⚠️ 量价背离(假突破风险)', '趋势明确(ADX:27.4)']",,,
SELL,2025-10-27 17:00:00,202.99,0.0,,10.309678668562812,0,['回测结束，强制平仓'],10299.368989894248,402.6056746760132,4.172226213691879
